"","20634274.G","24664996.G","35592862.G","55583441.G","21000216.G","24073245.G","1797756.G","17260313.G","94549523.G","38056377.G"
"ENSG00000242268",0,3.25645,0,0,0,0,0,0,0,0
"ENSG00000167578",32.1995,69.7246,55.4394,101.99,108.085,91.1344,44.0579,84.7729,3.90421,39.5286
"ENSG00000270112",0,0,0,3.3403,0,0,0,0,0,0
"ENSG00000078237",41.7928,36.0913,40.563,46.757,58.993,63.8218,33.0564,67.8427,32.2054,29.6307
"ENSG00000263642",0,0,0,0,0,0,0,0,0,0
"ENSG00000225275",0,0,0,0,0,0,6.08086,0,0,0
"ENSG00000269416",0,5.39066,0,0,0.797697,0,0,0.0440145,0,0.45294
"ENSG00000236850",1.30001,0.887745,3.58426,1.41917,0.806056,1.20149,4.67722,1.7952,2.51289,3.44307
"ENSG00000060642",8.22867,8.82739,9.0402,14.2221,8.20835,9.70599,10.6658,12.7005,0,11.2322
"ENSG00000231981",0,0,0,0,0,0,0,0,0,0.241162
"ENSG00000201788",0,0,0,0,0,0,0,0,0,0
"ENSG00000019995",3.81168,7.32818,3.48695,2.3681,0.530903,2.52278,3.83342,2.58277,16.8434,10.1132
"ENSG00000167700",9.74439,19.7904,14.3615,16.838,0.868542,9.1907,15.9048,9.99815,23.1069,10.4604
"ENSG00000172137",0,0,2.36202,0,0,0,0.947595,0,4.85328,0
"ENSG00000240423",0.117721,0.625052,0,0,0,0,0,0.0906352,0,0.0596757
"ENSG00000271616",0,0,0,0,0,0,0,0,4.65389,0
"ENSG00000264310",0,0,0,0,0,0,0,0,0,0
"ENSG00000236040",0,0.418132,0,0,0,0,0,0,0,0
"ENSG00000231105",0,0.729937,0.182881,1.81142,0,0.273757,0.0737591,0.295661,0,0.0555873
"ENSG00000182141",13.0418,14.5858,21.0843,9.61386,20.8008,13.4092,13.0328,28.6653,1.35179,17.9667
"ENSG00000136895",16.096,98.3006,39.9094,143.942,36.6515,22.3296,29.1986,66.0691,83.5052,34.6048
"ENSG00000231112",0,0,0,0,0,0,0,0,0,0
"ENSG00000271100",17.8227,19.9187,9.64667,0,0,10.0904,48.6332,0,0,4.10627
"ENSG00000264981",0,0,0,0,0,0,2.30324,0,0,0
"ENSG00000197557",0.345248,0.403393,0.47938,0.709767,0,0.400059,0.463095,0.122115,7.52894,0.129625
"ENSG00000233540",1.35108,1.66723,0.739397,0,0,0,1.83901,0,0,0.976578
"ENSG00000252650",0,0,0,0,0,0,0,0,0,0
"ENSG00000102174",0.0619462,0.222908,0.0877177,0,0.135221,0.0674852,0.0559705,0.0322047,25.6839,0.0545063
"ENSG00000207754",0,0,0,0,0,0,0,0,0,0
"ENSG00000232001",0,0,0,0,0,0,0,0,44.7221,0
"ENSG00000166391",0.415206,0,0.184721,0,0,0,0,0.0640623,1.68868,0.152285
